City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Alta Floresta,BR,2021-12-23 17:38:51,-9.8756,-56.0861,82.22,83,40,4.61,scattered clouds
167,Saint-Pierre,RE,2021-12-23 17:34:34,-21.3393,55.4781,80.29,83,0,2.3,clear sky
168,Mugla,TR,2021-12-23 17:38:51,37.2303,28.3557,34.47,62,0,5.86,clear sky
169,Bathsheba,BB,2021-12-23 17:38:51,13.2167,-59.5167,84.81,61,75,16.11,broken clouds
170,Lompoc,US,2021-12-23 17:38:52,34.6391,-120.4579,59.31,83,1,21.0,light rain
171,Kodiak,US,2021-12-23 17:38:52,57.79,-152.4072,42.31,52,1,20.71,clear sky
172,Labuhan,ID,2021-12-23 17:38:52,-6.8844,112.2051,79.47,85,88,7.78,moderate rain
173,Iqaluit,CA,2021-12-23 17:38:53,63.7506,-68.5145,-4.54,86,73,4.59,broken clouds
174,Urucui,BR,2021-12-23 17:38:53,-7.2294,-44.5561,85.64,68,86,3.76,overcast clouds
175,San Andres,CO,2021-12-23 17:38:54,12.5847,-81.7006,82.42,74,40,11.5,scattered clouds
176,Torbay,CA,2021-12-23 17:30:14,47.6666,-52.7314,42.58,91,75,20.71,light rain
177,Balkanabat,TM,2021-12-23 17:30:02,39.5108,54.3671,44.65,66,100,7.14,overcast clouds
178,Ust-Nera,RU,2021-12-23 17:39:54,64.5667,143.2,-43.1,100,86,2.06,overcast clouds
179,Tiksi,RU,2021-12-23 17:39:55,71.6872,128.8694,-14.94,98,100,4.41,overcast clouds
180,Lhokseumawe,ID,2021-12-23 17:39:55,5.1801,97.1507,76.96,79,35,3.02,scattered clouds
181,Avon,US,2021-12-23 17:39:29,41.4517,-82.0354,33.71,57,90,11.01,overcast clouds
182,Barabinsk,RU,2021-12-23 17:39:56,55.3571,78.357,26.47,98,90,5.5,light snow
183,Pueblo,US,2021-12-23 17:39:56,38.2545,-104.6091,65.16,25,1,3.44,clear sky
184,Georgetown,MY,2021-12-23 17:39:56,5.4112,100.3354,80.89,88,20,3.0,few clouds
185,Thompson,CA,2021-12-23 17:37:31,55.7435,-97.8558,-29.04,68,75,0.0,broken clouds
186,North Bend,US,2021-12-23 17:39:57,43.4065,-124.2243,45.88,96,90,5.75,overcast clouds
187,Carballo,ES,2021-12-23 17:39:57,43.213,-8.691,58.01,82,67,8.61,broken clouds
188,Kargopol,RU,2021-12-23 17:39:57,61.5071,38.9456,16.56,93,100,11.23,light snow
189,Wewak,PG,2021-12-23 17:39:58,-3.5534,143.6268,78.94,85,100,4.38,overcast clouds
190,Pisco,PE,2021-12-23 17:39:58,-13.7,-76.2167,71.65,73,0,8.05,clear sky
191,Bairiki,KI,2021-12-23 17:39:58,1.3292,172.9752,78.8,83,20,2.3,few clouds
192,Impfondo,CG,2021-12-23 17:39:59,1.6381,18.0667,82.26,54,100,3.29,overcast clouds
193,Tezu,IN,2021-12-23 17:39:59,27.9167,96.1667,56.07,62,1,3.85,clear sky
194,Springdale,US,2021-12-23 17:35:01,36.1867,-94.1288,59.45,85,90,15.01,overcast clouds
195,Vaini,TO,2021-12-23 17:40:00,-21.2,-175.2,77.16,94,20,4.61,volcanic ash
196,Port Hedland,AU,2021-12-23 17:40:00,-20.3167,118.5667,78.85,83,4,0.0,clear sky
197,Ubinskoye,RU,2021-12-23 17:40:00,55.3068,79.6802,30.78,98,100,10.18,light snow
198,Ahipara,NZ,2021-12-23 17:33:32,-35.1667,173.1667,66.34,94,93,8.23,overcast clouds
199,Saskylakh,RU,2021-12-23 17:40:01,71.9167,114.0833,-38.88,100,76,1.48,broken clouds
200,Klaksvik,FO,2021-12-23 17:40:02,62.2266,-6.589,36.52,68,94,24.0,overcast clouds
201,Baykit,RU,2021-12-23 17:40:02,61.67,96.37,-19.05,98,66,2.04,broken clouds
202,Srandakan,ID,2021-12-23 17:40:03,-7.9386,110.2506,75.96,88,100,4.16,light rain
203,Coihaique,CL,2021-12-23 17:34:37,-45.5752,-72.0662,79.41,29,20,9.22,few clouds
204,Verkhnevilyuysk,RU,2021-12-23 17:40:03,63.4453,120.3167,-29.42,100,98,2.95,overcast clouds
205,Yarmouth,US,2021-12-23 17:40:04,41.7057,-70.2286,34.02,51,1,23.0,clear sky
206,Salinopolis,BR,2021-12-23 17:40:04,-0.6136,-47.3561,84.52,70,92,13.09,overcast clouds
207,Baijiantan,CN,2021-12-23 17:40:04,45.6333,85.1833,22.6,89,100,1.14,overcast clouds
208,Sorong,ID,2021-12-23 17:40:05,-0.8833,131.25,79.93,80,71,5.57,broken clouds
