City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Shiyan,32.6475,110.7781,44.1,67,0,4.61,CN,2021-12-21 21:31:07
118,Thompson,55.7435,-97.8558,-11.04,70,20,4.61,CA,2021-12-21 21:30:08
119,Kodiak,57.79,-152.4072,33.93,67,5,10.49,US,2021-12-21 21:31:45
120,Awbari,26.5921,12.7805,51.64,31,100,4.63,LY,2021-12-21 21:31:46
121,Norman Wells,65.282,-126.8329,-3.96,77,75,5.75,CA,2021-12-21 21:31:46
122,Port Elizabeth,-33.918,25.5701,67.1,94,75,5.75,ZA,2021-12-21 21:31:46
123,Daru,-9.0763,143.2092,81.9,75,90,2.15,PG,2021-12-21 21:31:47
124,Eyl,7.9803,49.8164,75.51,75,75,14.36,SO,2021-12-21 21:31:47
125,Mouzouras,35.5333,24.15,51.8,87,40,6.91,GR,2021-12-21 21:31:47
126,Rawson,-43.3002,-65.1023,64.02,53,47,11.74,AR,2021-12-21 21:31:48
127,Chara,56.9064,118.2631,-25.64,95,100,0.81,RU,2021-12-21 21:31:48
128,Geraldton,-28.7667,114.6,70.21,73,90,12.66,AU,2021-12-21 21:31:28
129,Mansa,29.9833,75.3833,52.45,21,84,4.0,IN,2021-12-21 21:31:48
130,Makakilo City,21.3469,-158.0858,77.32,69,1,12.66,US,2021-12-21 21:31:49
131,Taltal,-25.4,-70.4833,66.33,78,88,5.59,CL,2021-12-21 21:31:49
132,San-Pedro,4.7485,-6.6363,80.15,82,39,5.41,CI,2021-12-21 21:31:49
133,Hermanus,-34.4187,19.2345,71.91,87,53,8.52,ZA,2021-12-21 21:31:50
134,Berezanka,46.8526,31.388,20.01,55,32,13.4,UA,2021-12-21 21:31:50
135,Naudero,27.6648,68.3622,53.62,16,4,4.32,PK,2021-12-21 21:31:50
136,Te Anau,-45.4167,167.7167,61.29,57,24,11.95,NZ,2021-12-21 21:32:51
137,Keetmanshoop,-26.5833,18.1333,71.65,43,14,3.74,NA,2021-12-21 21:32:51
138,Paamiut,61.994,-49.6678,34.02,95,100,25.5,GL,2021-12-21 21:32:51
139,Nouadhibou,20.931,-17.0347,73.38,46,57,13.8,MR,2021-12-21 21:32:52
140,Ishurdi,24.1333,89.0833,60.04,60,2,7.16,BD,2021-12-21 21:32:52
141,Richards Bay,-28.783,32.0377,68.94,92,100,14.88,ZA,2021-12-21 21:32:52
142,Nanortalik,60.1432,-45.2371,38.91,82,100,17.78,GL,2021-12-21 21:32:53
143,Harper,4.375,-7.7169,80.58,81,32,9.26,LR,2021-12-21 21:32:53
144,Port Alfred,-33.5906,26.891,68.92,94,38,12.01,ZA,2021-12-21 21:32:53
145,Gap,44.6667,6.0,19.83,79,4,5.48,FR,2021-12-21 21:32:53
146,Saint-Pierre,-21.3393,55.4781,76.68,79,0,3.44,RE,2021-12-21 21:32:54
147,Senno,59.5336,33.9167,-0.35,99,98,2.46,RU,2021-12-21 21:32:54
148,Iqaluit,63.7506,-68.5145,-0.67,77,90,38.99,CA,2021-12-21 21:32:54
149,Dikson,73.5069,80.5464,-24.18,93,96,14.72,RU,2021-12-21 21:32:55
150,Vanimo,-2.6741,141.3028,79.23,88,100,7.85,PG,2021-12-21 21:32:55
151,Oussouye,12.485,-16.5469,78.89,25,97,13.27,SN,2021-12-21 21:32:55
152,Whitehorse,60.7161,-135.0538,20.17,88,90,10.0,CA,2021-12-21 21:32:56
153,Serebryansk,49.6925,83.2892,11.75,98,100,4.76,KZ,2021-12-21 21:32:56
154,Saint-Gaudens,43.0833,0.6667,44.33,73,67,4.72,FR,2021-12-21 21:32:56
155,Bouar,5.934,15.596,70.27,36,13,5.26,CF,2021-12-21 21:32:57
156,Calamar,10.2511,-74.9146,85.95,77,100,8.21,CO,2021-12-21 21:32:57
157,Zemio,5.0314,25.1361,73.56,41,79,4.0,CF,2021-12-21 21:32:57
158,Chojnow,51.2737,15.9366,27.64,92,100,4.14,PL,2021-12-21 21:32:58
159,Prince Rupert,54.3161,-130.3201,33.49,94,90,19.57,CA,2021-12-21 21:32:58
160,Tonekabon,36.8163,50.8738,58.95,54,0,4.38,IR,2021-12-21 21:32:58
161,Port Angeles,48.1181,-123.4307,39.81,85,90,6.91,US,2021-12-21 21:32:58
162,Bengkulu,-3.8004,102.2655,76.21,88,67,4.18,ID,2021-12-21 21:31:09
163,Westport,41.1415,-73.3579,41.14,68,1,1.99,US,2021-12-21 21:28:37
164,Zyryanovsk,49.7386,84.2719,19.18,94,99,2.42,KZ,2021-12-21 21:32:59
165,Broome,42.2506,-75.833,37.98,65,1,3.0,US,2021-12-21 21:32:59
166,Vardo,70.3705,31.1107,26.58,80,100,25.32,NO,2021-12-21 21:33:00
167,Bethel,41.3712,-73.414,39.31,64,100,2.98,US,2021-12-21 21:33:00
168,San Patricio,28.017,-97.5169,71.08,45,29,2.06,US,2021-12-21 21:33:00
169,San Cristobal,7.7669,-72.225,78.98,68,97,1.25,VE,2021-12-21 21:33:01
170,Soluno-Dmitriyevskoye,44.4031,42.7278,29.75,89,100,2.55,RU,2021-12-21 21:33:01
171,Kinkala,-4.3614,14.7644,79.11,85,100,0.65,CG,2021-12-21 21:33:01
172,Hearst,49.6835,-83.6665,3.45,94,100,4.92,CA,2021-12-21 21:33:02
173,Srednekolymsk,67.45,153.6833,-33.36,98,51,6.76,RU,2021-12-21 21:33:02
174,Caravelas,-17.7125,-39.2481,74.77,85,89,4.88,BR,2021-12-21 21:33:02
175,New Norfolk,-42.7826,147.0587,55.92,38,86,10.6,AU,2021-12-21 21:33:03
176,Toora-Khem,52.4675,96.11,3.24,98,96,2.53,RU,2021-12-21 21:33:03
177,Mount Isa,-20.7333,139.5,76.77,73,56,0.0,AU,2021-12-21 21:31:04
178,Kolda,12.8833,-14.95,80.91,39,0,4.61,SN,2021-12-21 21:33:04
179,Naze,28.3667,129.4833,57.24,90,100,1.77,JP,2021-12-21 21:33:04
180,Ostrovnoy,68.0531,39.5131,21.92,70,100,10.16,RU,2021-12-21 21:33:04
181,Guaiba,-30.1139,-51.325,84.11,65,0,6.91,BR,2021-12-21 21:33:04
182,Achalpur,21.2572,77.5086,59.04,27,0,2.77,IN,2021-12-21 21:33:05
183,Velikiy Ustyug,60.7644,46.3106,-2.31,96,98,5.55,RU,2021-12-21 21:34:05
184,Stromness,58.965,-3.296,40.96,67,100,7.78,GB,2021-12-21 21:34:05
185,Lebu,-37.6167,-73.65,59.34,75,0,21.63,CL,2021-12-21 21:34:06
186,Russell,32.3502,-85.1999,43.0,92,90,11.5,US,2021-12-21 21:34:06
187,Ulaanbaatar,47.9077,106.8832,-2.07,84,40,2.24,MN,2021-12-21 21:34:06
188,Scarborough,54.2797,-0.4044,37.53,84,93,3.0,GB,2021-12-21 21:30:31
189,Mahibadhoo,3.7833,72.9667,81.79,73,99,10.6,MV,2021-12-21 21:34:07
190,Korla,41.7597,86.1469,23.86,61,0,2.26,CN,2021-12-21 21:34:07
191,Hualmay,-11.0964,-77.6139,70.99,73,51,9.1,PE,2021-12-21 21:34:08
192,Xichang,27.8964,102.2634,40.59,85,0,1.01,CN,2021-12-21 21:34:08
193,San Andres,12.5847,-81.7006,80.62,78,75,4.61,CO,2021-12-21 21:34:08
194,Saldanha,-33.0117,17.9442,68.05,91,62,10.94,ZA,2021-12-21 21:34:09
195,Saint-Michel-Des-Saints,46.6834,-73.9159,10.94,86,82,1.83,CA,2021-12-21 21:34:09
196,Batagay-Alyta,67.8006,130.4114,-19.25,90,100,1.81,RU,2021-12-21 21:34:09
197,Santa Maria,-29.6842,-53.8069,83.5,74,40,2.3,BR,2021-12-21 21:34:10
198,Sirari,-1.2333,34.4333,60.76,88,99,6.29,TZ,2021-12-21 21:34:10
199,Lata,40.1629,-8.3327,59.92,88,99,11.41,PT,2021-12-21 21:34:10
200,Neiafu,-18.65,-173.9833,84.88,65,40,8.05,TO,2021-12-21 21:34:11
201,Kearney,40.6995,-99.0815,49.12,29,1,4.0,US,2021-12-21 21:34:11
202,Luderitz,-26.6481,15.1594,59.68,87,0,1.7,NA,2021-12-21 21:34:11
203,Qandala,11.472,49.8728,76.21,73,91,5.73,SO,2021-12-21 21:34:11
